symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
EMC,0.8587989680638722,499561.25349301397,35346669.01796407,0.11973850099800398,0.007754796124018755
EMC2,0.07519551269935026,2258756.0448907265,16246648.202598937,0.014005370348493798,0.05299773038968542
EMD,0.004337113011606597,405.98228466707394,79161.23274282223,0.0009811551618814907,0.004193857041325997
EMPR,0.552333890625,25994.53125,0.0,0.3878735625,0.0
ENG,1.572897721549637,5980762.881355932,117584412.3244552,0.24922507263922516,0.04404133507417127
ENGT,0.005457488888888889,520087.64444444445,440490.6962962963,0.0008842222222222222,0.10147351184929773
ENJ,0.09834765228426397,4934126.47715736,73891019.69796954,0.016108634517766496,0.0609286568284101
ENT,0.08982516320885199,2440.8824343015212,358171.75242047023,0.03460029045643153,0.01034391157952258
ENTS,3.182e-05,36610.22,458939.44,6.96e-06,0.05669334990173771
EOS,1.2839067666666666,35134729.46666667,431049572.76,0.17801408,0.07482713851807671
EOSDAC,0.06847259911894273,994337.1762114537,29331352.211453743,0.01140281497797357,0.009304047631911606
EPLUS,1.5654506206896552,76355.37068965517,0.0,0.4795609568965517,0.0
EPY,0.137791552,4790.058666666667,1028467.4266666666,0.04435666133333333,0.003802191518535529
EQL,0.0020444309210526316,13053.865131578947,573127.4802631579,0.0004968815789473684,0.017081348097102038
EQT,0.26609888648648644,31534.84144144144,2378067.6576576577,0.07913233513513514,0.008747707986919236
ERA,0.013774084188911705,10452.874743326489,2243303.3162217657,0.0059364763860369615,0.015358711781818853
ERC20,0.17597659416445624,54881.575596816976,4421508.387267904,0.11000038461538462,0.022177252774827235
ERO,0.04202261002785515,234161.4791086351,5643994.9331476325,0.008371376044568245,0.007527396978437481
ERT,0.006197213114754098,15340.475409836066,951897.7868852459,0.001157065573770492,0.015084096625585757
ERY,0.016235497723823974,8098.370257966616,89979.37784522003,0.00671742033383915,0.03754216937343333
ESCE,9.152631578947369e-05,2522.7894736842104,26471.736842105263,4.844736842105263e-05,0.0023534666393862217
ESCO,0.16670419827586205,14614.370689655172,0.0,0.027016887931034485,0.0
